epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6471264362335205,0.0010000000474974513,0.9225054383277893,0.6284403800964355,0.753577470779419
1,0.8919540047645569,0.0010000000474974513,0.3747578263282776,0.5,1.1586329936981201
2,0.959770143032074,0.0010000000474974513,0.23334304988384247,0.5,1.9294650554656982
3,0.9850574731826782,0.0010000000474974513,0.16522909700870514,0.5,2.3742494583129883
4,0.9896551966667175,0.0010000000474974513,0.15893085300922394,0.5,2.6532514095306396
5,0.9839080572128296,0.0010000000474974513,0.1737891137599945,0.5,2.8449270725250244
6,0.9908046126365662,0.0005000000237487257,0.14580349624156952,0.5,3.2137093544006348
7,0.9954022765159607,0.0005000000237487257,0.13617084920406342,0.5,3.2393760681152344
8,0.9885057210922241,0.0005000000237487257,0.14383940398693085,0.5,2.9158518314361572
9,0.9931034445762634,0.0005000000237487257,0.1332170069217682,0.5045871734619141,2.6770596504211426
10,0.9908046126365662,0.0005000000237487257,0.13127651810646057,0.5321100950241089,2.4917168617248535
